group,mean_gc_skew,mean_gc_skew_stddev,n
Chordodea,-0.0014923217119164611,0.1190326278391538,10086
Umbelopsidomycetes,-0.0007345142189072304,0.09066105775882012,10039
Gigartinaceae,0.0035347409261305813,0.15780879851259724,9946
Spironucleus,-0.0014988778962310738,0.13162140616938725,9066
Xylonomycetes,-0.0007774918135400318,0.09202616588870899,8346
Encephalitozoon,0.006013705216678748,0.21510484723894366,8054
Cystobasidiomycetes,-0.0006685999177713037,0.07589856234975273,7862
Galdieria,-0.0021385978918986442,0.15368187238970762,7215
Taphrinomycotina incertae sedis,0.0009902657053890433,0.11349570671364934,7200
Mixiomycetes,0.0010078272720737754,0.06882966281292599,6838
Taphrinomycetes,-0.0013689872350078616,0.07792945493568401,6768
Jungermanniopsida,0.002869456643921625,0.12553861811722167,6586
Vairimorpha,0.0033041865716836585,0.18771493876869969,6479
Eustigmatales,0.0011538640103054753,0.12810848566331867,6136
Cyanidioschyzon,0.0019195840511025686,0.07213366157189577,5678
Giardia,-0.0007143169176516658,0.07824176141192819,5385
Ordospora,-0.01169579651690896,0.28395288655925627,3756
Ulvales,0.02233360669036518,0.13246171346178426,3728
Bryopsidales,0.0052185208016498315,0.13021795146434362,3659
Polychaeta,-0.11575429455373652,0.2076918483665634,3456
Mediophyceae,0.006155845753081073,0.14532282674157845,3349
Hypneaceae,-0.0025263354354592986,0.17226749201999167,3171
Liagoraceae,0.014168020093305138,0.14268792109785558,2879
Vavraia,0.0018414211845150573,0.17066684913213145,2825
Euglenophyceae,-0.003161970088834499,0.16830458021008352,2666
Delesseriaceae,0.001690749589313637,0.16531522110967586,2314
Vittaforma,-0.0076551900569890525,0.16577842096381218,2293
Halymeniaceae,-0.004072074708682875,0.1588306875190618,2187
Gelidiaceae,-0.0063747414179647,0.15254719276873438,2065
Silicofilosea,0.004223184997852264,0.11474385540925061,1884
Marchantiopsida,0.002886610264681655,0.1317459023188004,1544
Fragilariophyceae,-0.014106396574799038,0.1436100171851355,1478
Zygnematales,0.005296568029233448,0.13253500193411555,1431
Klebsormidiaceae,-0.005626412060220147,0.11157845954458154,1302
Chattonellales,-0.012287350249094834,0.15525837556250366,1285
Chloropicaceae,0.06715918230491931,0.10164700381931459,1201
Ceramiaceae,-0.011423537716780077,0.16307176692240294,1140
OCC clade,0.01353322162086918,0.12694595201199194,1124
Monogenea,0.2442002437598393,0.1593680168923665,1091
Dasyaceae,0.004189396630902788,0.17851637444702992,1083
Watanabeales,0.025568013004182044,0.11745149866548608,953
Ophiuroidea,-0.16748212805385607,0.155758712562644,929
Hapalidiaceae,-0.007670470558060995,0.16461015062309006,915
Corallinaceae,-0.01161101828785317,0.16346551661503406,899
Holothuroidea,-0.09832952050036102,0.18136067673168216,892
Neoporphyra,-0.015812124579730105,0.14225802355293918,856
